SKU;Tipo;Descripción;Unidad de Medida (Um);Ancho;Alto;Profundo;Stock Actual;Precio Directo;Precio Público;Imagen (URL);Modelo 3D (.glb / .obj);URL de Referencia / Ficha;PROVEEDOR
;Servicio;Instalación de Griferia;servicio;;;;;60000;69000;;;;
;Servicio;Instalación de Lavaplatos;servicio;;;;;60000;69000;;;;
;Servicio;Instalación Estufa;servicio;;;;;60000;69000;;;;
;Servicio;Retiro de material residual (carpintería - escohombros);servicio;;;;;220000;253000;;;;
;Herrajes / Accesorios;Grifería monocontrol con manguera;unidad;-;;;;280000;322000;;;;
;Modulos prefabricados;Closet modular;metro cuadrado;100 * 60 * 100 cm;;;;420000;483000;;;;
;Tableros / Maderas;Prensado de acrílico italiano;tablero;270 x 120 cm;;;;3200000;3680000;;;;
;Herrajes / Accesorios;bisagaras cierrelento plus;juego;;;;;12000;13800;;;;
;Herrajes / Accesorios;Manija en aluminio;unidad;128 mm;;;;10000;11500;;;;
;Herrajes / Accesorios;Modulos de basuras Canequero;unidad;-;;;;350000;402500;;;;
;Modulos prefabricados;Módulos cuadrados;metro lineal;100 * 60 * 100 cm;;;;460000;529000;;;;
;Modulos prefabricados;Estructura modular de mueble inferior;metro lineal;100 * 60 * 90 cm;;;;390000;448500;;;;
;Servicio;Mano de obra carpintería integral;servicio;;;;;375000;431250;;;;
;Piedras / Mesones;Sinterizado;metro lineal;100 * 60 cm;;;;1000000;1150000;;;;
;Tableros / Maderas;tablero 15mm melamina pelikano;tablero;;;;;450000;517500;;;;
;Electrodomesticos / Gasodomesticos;Estufa a gas 4 puestos;unidad;-;;;;420000;483000;https://challengerco.vteximg.com.br/arquivos/ids/161657-1000-1000/SP-5040_1.jpg?v=638030051726000000, https://challengerco.vteximg.com.br/arquivos/ids/161884-500-500/SP5040_07.jpg?v=638876908671430000;;https://www.challenger.com.co/estufa-de-empotrar-en-acero-inoxidable-43-5x58-5-cm-gas-natural-sp5040-ei/p;
;Piedras / Mesones;Mesones en piedra sinterizada + 7m;metro lineal;;;;;850000;977500;;;;Dalver Fonseca
;Electrodomesticos / Gasodomesticos;Campana estandar Mabe;unidad;;;;;290000;333500;;;;
;Piedras / Mesones;Mesón granito negro San G;metro lineal;100 * 60 cm;;;;680000;782000;;;;
;Modulos prefabricados;Panel alistonado;metro lineal;100 * 60 cm;;;;260000;299000;;;;
;Tableros / Maderas;Fachadas melamina mate 18 mm RH canto rigido;tablero;244 x 183 cm;;;;480000;552000;;;;
;Herrajes / Accesorios;Complementos lavaplatos;juego;;;;;60000;69000;;;;
;Piedras / Mesones;Mesones en Quarztone;metro lineal;100 * 60 cm;;;;750000;862500;;;;
;Tableros / Maderas;Tablero melamínico 18 mm STND + Enchape de cantos rigidos 2mm;tablero;244 x 183 cm;;;;390000;448500;;;;
;Herrajes / Accesorios;Cubiertero;unidad;-;;;;65000;74750;;;;
;Herrajes / Accesorios;Condimentero sencillo;unidad;-;;;;270000;310500;;;;
;Herrajes / Accesorios;Lavaplatos estándar y complementos;unidad;-;;;;250000;287500;;;;
;227b5567-ba71-8056-8e1b-d9c6778eae86;Puerta vidrio aluminio para mueble superior;unidad;mtl;;;;160000;184000;;;;
;Piedras / Mesones;Madera;metro lineal;100 * 60 cm;;;;600000;690000;;;;
;Herrajes / Accesorios;Esquina magina dos bandejas;juegos;;;;;1350000;1552500;https://madecentro.com/cdn/shop/products/herrajes-cocina-esquina-magica-bonuit-hso837-01-ambiente1-madecentro_1024x720.jpg?v=1613081250, https://madecentro.com/cdn/shop/products/herrajes-cocina-esquina-magica-bonuit-hso837-01-ambiente2-madecentro_1024x720.jpg?v=1613081250;;;
;Herrajes / Accesorios;Interruptor tactil | inteligente;unidad;;;;;120000;138000;;;;
;Modulos prefabricados;Tambor;metro lineal;100 * 60 cm;;;;260000;299000;;;;
;Electrodomesticos / Gasodomesticos;Horno de empotrar Challenger (mixto);unidad;-;;;;950000;1092500;;;;
;Modulos prefabricados;repisa modular;metro lineal;100 * 22 * 12;;;;60000;69000;;;;
;Modulos prefabricados;Estructura modular de mueble superior;metro lineal;100 * 30 * 60 - 80 cm;;;;350000;402500;;;;
;Herrajes / Accesorios;Canastillas de acero extraibles;unidad;-;;;;140000;161000;;;;
;Tableros / Maderas;Flor modaro;metro cuadrado;100 *100;;;;420000;483000;;;;
;Modulos prefabricados;Panel decorativo 18mm melamina;metro lineal;100 * 60 cm;;;;130000;149500;;;;
;Electrodomesticos / Gasodomesticos;Campana Oculta Challenguer;unidad;-;;;;620000;713000;https://challengerco.vteximg.com.br/arquivos/ids/155881-1000-1000/7705191019628_1.jpg?v=637369166883330000, https://challengerco.vteximg.com.br/arquivos/ids/158272-1000-1000/CX4100.jpg?v=638742733218330000, https://www.challenger.com.co/arquivos/hero_campanas_acero_cx4000_dk.jpg?v=638339351859500000;;;
;Tableros / Maderas;Fachadas en poliuretano Altobrillo;tablero;244 x 183 cm;;;;1100000;1265000;;;;
;Servicio;Costos operativos | Transportes y logistica;servicio;;;;;60000;69000;;;;
;Servicio;Instalación de complementos;servicio;;;;;75000;86250;;;;
