Informe de palabras clave de búsqueda
27 de marzo de 2026 - 21 de agosto de 2026
Estado de las palabras clave,Palabra clave,Tipo de concordancia,Campaña,Grupo de anuncios,Estado,Motivos del estado,Impr.,Código de moneda,Coste,Clics,Interacciones,Tasa de interacción,Coste medio,CTR,Cuota de impr. de búsqueda,Tasa de conv.,Conversiones,CPC medio,Coste/conv.
Habilitado,"""cocinas integrales precios de fabrica""",Concordancia de frase,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,Apto,,1,COP,"0,00",0,0,"0,00%",0,"0,00%","20,00%","0,00%","0,00",0,"0,00"
En pausa,cocinas integrales diseños modernos,Concordancia amplia,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,En pausa,en pausa,0,COP,"0,00",0,0, --,0, --, --,"0,00%","0,00",0,"0,00"
En pausa,cocinas integrales cocinas integrales,Concordancia amplia,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,En pausa,en pausa,0,COP,"0,00",0,0, --,0, --, --,"0,00%","0,00",0,"0,00"
Habilitado,"""cotizar cocina integral""",Concordancia de frase,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,Apto,,429,COP,"61140,74",47,47,"10,96%","1300,87","10,96%","34,03%","12,77%","6,00","1300,87","10190,12"
Habilitado,"""fabricantes cocinas integrales""",Concordancia de frase,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,Apto,,551,COP,"43036,79",38,38,"6,90%","1132,55","6,90%","37,99%","13,16%","5,00","1132,55","8607,36"
Habilitado,"""venta de cocinas integrales""",Concordancia de frase,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,Apto,,625,COP,"60104,85",63,63,"10,08%","954,05","10,08%","28,03%","14,29%","9,00","954,05","6678,32"
Habilitado,"""remodelar mi cocina""",Concordancia de frase,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,Apto,,173,COP,"11187,82",9,9,"5,20%","1243,09","5,20%","29,17%","22,22%","2,00","1243,09","5593,91"
Habilitado,"""diseñador de cocinas integrales""",Concordancia de frase,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,Apto,,40,COP,"2263,70",3,3,"7,50%","754,57","7,50%","41,46%","0,00%","0,00","754,57","0,00"
En pausa,diseño cocinas integrales,Concordancia amplia,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,En pausa,en pausa,0,COP,"0,00",0,0, --,0, --, --,"0,00%","0,00",0,"0,00"
Habilitado,"""cocinas integrales gama alta""",Concordancia de frase,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,Apto,,0,COP,"0,00",0,0, --,0, --, --,"0,00%","0,00",0,"0,00"
En pausa,cocinas integrales precios,Concordancia amplia,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,En pausa,en pausa,0,COP,"0,00",0,0, --,0, --, --,"0,00%","0,00",0,"0,00"
En pausa,precio de cocinas integrales,Concordancia amplia,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,En pausa,en pausa,0,COP,"0,00",0,0, --,0, --, --,"0,00%","0,00",0,"0,00"
Habilitado,"""cocinas integrales bogota""",Concordancia de frase,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,Apto,,578,COP,"40384,71",43,43,"7,44%","939,18","7,44%","40,59%","9,41%","4,05","939,18","9980,92"
Habilitado,"""remodelacion de cocina""",Concordancia de frase,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,Apto,,204,COP,"13109,46",12,12,"5,88%","1092,46","5,88%","28,82%","8,33%","1,00","1092,46","13109,46"
En pausa,diseño cocina integral,Concordancia amplia,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,En pausa,en pausa,0,COP,"0,00",0,0, --,0, --, --,"0,00%","0,00",0,"0,00"
Habilitado,"""cocina integral""",Concordancia de frase,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,Apto,,2.517,COP,"224340,69",244,244,"9,69%","919,43","9,69%","21,39%","12,30%","30,00","919,43","7478,02"
En pausa,para cocinas integrales,Concordancia amplia,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,En pausa,en pausa,0,COP,"0,00",0,0, --,0, --, --,"0,00%","0,00",0,"0,00"
Habilitado,"""muebles para estudio a medida""",Concordancia de frase,Hermanos_garcia_busqueda_noviembre_2023,Anuncios de Amoblamiento Integral,Apto,,0,COP,"0,00",0,0, --,0, --,< 10%,"0,00%","0,00",0,"0,00"
Habilitado,"""centros de tv a medida modernos""",Concordancia de frase,Hermanos_garcia_busqueda_noviembre_2023,Anuncios de Amoblamiento Integral,No apto,no suele publicarse,0,COP,"0,00",0,0, --,0, --, --,"0,00%","0,00",0,"0,00"
Habilitado,"""mobiliario a medida para apartamentos""",Concordancia de frase,Hermanos_garcia_busqueda_noviembre_2023,Anuncios de Amoblamiento Integral,No apto,no suele publicarse,0,COP,"0,00",0,0, --,0, --, --,"0,00%","0,00",0,"0,00"
Habilitado,"""diseño de muebles a medida""",Concordancia de frase,Hermanos_garcia_busqueda_noviembre_2023,Anuncios de Amoblamiento Integral,Apto,,1.418,COP,"261796,25",200,200,"14,10%","1308,98","14,10%","54,37%","15,25%","30,50","1308,98","8583,48"
Habilitado,"""amoblamiento integral de interiores""",Concordancia de frase,Hermanos_garcia_busqueda_noviembre_2023,Anuncios de Amoblamiento Integral,No apto,no suele publicarse,0,COP,"0,00",0,0, --,0, --, --,"0,00%","0,00",0,"0,00"
Habilitado,"""carpintería a medida bogotá""",Concordancia de frase,Hermanos_garcia_busqueda_noviembre_2023,Anuncios de Amoblamiento Integral,No apto,no suele publicarse,984,COP,"152507,22",117,117,"11,89%","1303,48","11,89%","53,63%","16,67%","19,50","1303,48","7820,88"
Habilitado,"""bibliotecas de madera a medida""",Concordancia de frase,Hermanos_garcia_busqueda_noviembre_2023,Anuncios de Amoblamiento Integral,Apto,,0,COP,"0,00",0,0, --,0, --, --,"0,00%","0,00",0,"0,00"
Habilitado,"""closets a medida bogotá""",Concordancia de frase,Hermanos_garcia_busqueda_noviembre_2023,Anuncios de Amoblamiento Integral,No apto,no suele publicarse,5,COP,"1736,00",2,2,"40,00%","868,00","40,00%","50,00%","0,00%","0,00","868,00","0,00"
 --,,Total: Todas las palabras clave excepto las retiradas, --, --, --,,7.526,COP,"871608,24",778,778,"10,34%","1120,32","10,34%","30,64%","13,76%","107,05","1120,32","8142,36"
,,Total: Palabras clave de tu cuenta,,,,,7.526,COP,"871608,24",778,778,"10,34%","1120,32","10,34%","30,64%","13,76%","107,05","1120,32","8142,36"
,,Total: Tus palabras clave,,,,,7.526,COP,"871608,24",778,778,"10,34%","1120,32","10,34%", --,"13,76%","107,05","1120,32","8142,36"
,,Total: Concordancias ampliadas de AI Max,,,,,0,COP,"0,00",0,0, --,0, --, --,"0,00%","0,00",0,"0,00"
,,Total: Coincidencias de página de destino de AI Max,,,,,0,COP,"0,00",0,0, --,0, --, --,"0,00%","0,00",0,"0,00"
,,Total: Inclusiones de URLs de tu cuenta,,,,,0,COP,"0,00",0,0, --,0, --, --,"0,00%","0,00",0,"0,00"
,,Total: Cuenta,,,,,26.107,COP,"1027443,66",1.691,1.802,"6,90%","570,17","6,48%","24,18%","8,05%","145,00","607,60","7085,82"
,,Total: Rendimiento máximo,,,,,18.581,COP,"155835,43",913,1.024,"5,51%","152,18","4,91%",< 10%,"3,71%","37,95","170,69","4105,92"
,,Total: Buscar,,,,,7.525,COP,"871608,24",778,778,"10,34%","1120,32","10,34%","30,64%","13,76%","107,05","1120,32","8142,36"
,,Total: Inteligente,,,,,0,COP,"0,00",0,0, --,0, --, --,"0,00%","0,00",0,"0,00"
