Informe de anuncio
27 de marzo de 2026 - 21 de agosto de 2026
Estado de los anuncios,URL final,Título 1,Posición del título 1,Título 2,Posición del título 2,Título 3,Posición del título 3,Título 4,Posición del título 4,Título 5,Posición del título 5,Título 6,Posición del título 6,Título 7,Posición del título 7,Título 8,Posición del título 8,Título 9,Posición del título 9,Título 10,Posición del título 10,Título 11,Posición del título 11,Título 12,Posición del título 12,Título 13,Posición del título 13,Título 14,Posición del título 14,Título 15,Posición del título 15,Descripción 1,Posición de la descripción 1,Descripción 2,Posición de la descripción 2,Descripción 3,Posición de la descripción 3,Descripción 4,Posición de la descripción 4,Nombre de la empresa,País,Número de teléfono,URL de verificación,Seguimiento de llamadas,Conversión de llamada,Ruta 1,Ruta 2,URL final para móviles,Plantilla de seguimiento,Sufijo de URL final,Parámetro personalizado,Campaña,Grupo de anuncios,Estado,Motivos del estado,Eficacia del anuncio,Mejoras en la eficacia del anuncio,Tipo de anuncio,Impr.,Interacciones,Tasa de interacción,Código de moneda,Coste medio,Coste,CTR,CPC medio,Clics,Tasa de conv.,Conversiones,Coste/conv.
Habilitado,https://www.vetadeoro.co,Amoblamiento Integral Bogotá, --,Carpintería a Medida Premium, --,"Closets, Cocinas y Estudios", --,Muebles personalizados, --,Diseño Unificado Toda su Casa, --,Diseño de Muebles a Medida, --,Directo de Fábrica Bogotá, --,Garantía Real de Fábrica, --,Closets a Medida Bogotá, --,Diseño 3D de Todo su Hogar, --,Sin Intermediarios ni Costos, --,Centros de TV y Bibliotecas, --,Cotice su Proyecto Integral, --,Presupuestos de Cocinas, --,Carpintería a Medida Bogotá, --,¿Apartamento nuevo? Diseñamos y fabricamos todos sus muebles Directo de fábrica a su hogar, --,"Especialistas en proyectos de carpintería integral: Cocinas, Closets y Centros de TV", --,Un solo proveedor para toda su casa. Diseño unificado con materiales y herrajes premium, --,Agenda su visita técnica gratuita y vea su mobiliario en 3D antes de fabricar., --, --, --, --, --, --, --,Mobiliario,personalizado,, --, --,,Hermanos_garcia_busqueda_noviembre_2023,Anuncios de Amoblamiento Integral,Apto,,Excelente,,Anuncio adaptable de búsqueda,2.407,319,"13,25%",COP,"1304,20","416039,47","13,25%","1304,20",319,"15,67%","50,00","8320,79"
Habilitado,https://www.vetadeoro.co/cocinas,{Keyword:Cocinas Integrales}, --,cotiza tu cocina integral, --,precios de fabrica, --,asesoria total, --,diseño personalizado, --,materiales de alta gama, --,Remodelación integral cocinas, --,quiero remodelar mi cocina, --,cocina nueva, --,cotización personalizada, --,tu proyecto en buenas manos, --,especialistas en cocinas, --,carpinteria de primera, --,acabados especiales, --, --, --,"Agenda una visita técnica gratuita, te asesoramos de inicio a fin", --,Recibe tu cotización hoy mismo o agenda una visita técnica gratuita, --,Asesoría personalizada en tu proyecto de remodelación de cocina, --,Ajustamos el diseño para hasta adecuarnos a tu presupuesto., --, --, --, --, --, --, --,cocinas, --,, --, --,,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,Apto,,Excelente,,Anuncio adaptable de búsqueda,2.506,232,"9,26%",COP,"985,74","228691,14","9,26%","985,74",232,"12,50%","29,00","7885,90"
Habilitado,https://www.vetadeoro.co/cocinas,Cocinas Integrales Bogotá, --,{Keyword:Cocinas Integrales}, --,Directo de Fábrica en Bogotá, --,Cocinas de Alta Gama, --,Carpintería de Alta Gama, --,Herrajes de Alta Gama, --,Garantía Real de Carpintería, --,Visita técnica sin costo, --,Remodelación Integral Cocina, --,Crea la cocina de tus sueños, --,Veta de Oro: Cocinas Modernas, --,Muebles de Cocina a Medida, --,Punto de Fábrica Bogotá, --,Visita Técnica sin Costo, --,Instalación Total Incluida, --,Punto de fábrica en Bogotá. Diseñamos en 3D e instalamos sin intermediarios. ¡Cotice hoy!, --,Expertos en cocinas de alta gama con cuarzo y sinterizado. Garantía real y acabado premium, --,Carpintería técnica para su cocina. Materiales resistentes y herrajes de cierre suave., --,"Visualiza tu proyecto antes de que empiece, asegurando una ejecución sin sorpresas.", --, --, --, --, --, --, --,cocinas, --,, --, --,,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,Apto,,Excelente,,Anuncio adaptable de búsqueda,2.514,222,"8,83%",COP,"1018,87","226188,62","8,83%","1018,87",222,"12,63%","28,05","8064,86"
En pausa,https://www.vetadeoro.co/cocinas,{Keyword:Cocinas Integrales}, --,Diseño adecuado a tu espacio, --,Renovar Cocina Integral, --,Instalación total, --,Asesoría total en Cocinas, --,Fabricantes de Cocinas Bogotá, --,Remodelación integral cocinas, --,Te asesoramos de inicio a fin, --,Nos adecuamos a tu presupuesto, --,Cotizar Cocina Inegral, --,Remodelar mi Cocina, --,Nos encargamos de tu proyecto, --,Modelado 3D de tu proyecto, --, --, --, --, --,"Somos fabricantes directos, agenda una visita técnica y recibe tu cotización sin costo", --,"Renovación integral de cocinas: Diseño personalizado, fabricación e Instalación confiable", --,Recibe asesoría completa en el diseño y fabricación de tus muebles, --,Te asesoramos en tu proyecto de cocina desde el diseño hasta la instalación, --, --, --, --, --, --, --, --, --,, --, --,,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,En pausa,en pausa,Buena,Prueba a incluir más palabras clave en las descripciones;Añade 1 enlace de sitio más a tu anuncio,Anuncio adaptable de búsqueda,0,0, --,COP,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Habilitado,https://www.vetadeoro.co/cocinas,Cotizar cocina Integral, --,Diseñar mi cocina integral, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Diseñamos y fabricamos espacios integrales, --,"Somos fabricantes directos, contacta y cotiza tu cocina integral", --, --, --, --, --,Veta de oro Espacios,CO,3025922101,https://www.vetadeoro.co/cocinas,true, --,cocinas, --,, --, --,,Hermanos_garcia_busqueda_noviembre_2023,Cocinas integrales,Apto,, --, --,Anuncio de solo llamada,98,5,"5,10%",COP,"137,80","689,00","5,10%","137,80",5,"0,00%","0,00","0,00"
Total: Todos los anuncios excepto los que se han retirado,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --, --, --, --, --,, --, --, --,7.525,778,"10,34%",COP,"1120,32","871608,24","10,34%","1120,32",778,"13,76%","107,05","8142,36"
Total: Cuenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.106,1.802,"6,90%",COP,"570,17","1027443,66","6,48%","607,60",1.691,"8,05%","145,00","7085,82"
Total: Inteligente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0, --,COP,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Total: Buscar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.525,778,"10,34%",COP,"1120,32","871608,24","10,34%","1120,32",778,"13,76%","107,05","8142,36"
Total: Rendimiento máximo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.581,1.024,"5,51%",COP,"152,18","155835,43","4,91%","170,69",913,"3,71%","37,95","4105,92"
