Fecha,Conversiones,Clics
"mié, 1 abr 2026","0,00",4
"jue, 2 abr 2026","1,00",8
"vie, 3 abr 2026","1,00",4
"sáb, 4 abr 2026","0,00",1
"dom, 5 abr 2026","0,00",0
"lun, 6 abr 2026","1,00",5
"mar, 7 abr 2026","0,00",0
"mié, 8 abr 2026","0,00",5
"jue, 9 abr 2026","2,00",8
"vie, 10 abr 2026","0,05",6
"sáb, 11 abr 2026","0,00",0
"dom, 12 abr 2026","0,00",0
"lun, 13 abr 2026","3,00",13
"mar, 14 abr 2026","1,00",10
"mié, 15 abr 2026","3,00",11
"jue, 16 abr 2026","2,00",9
"vie, 17 abr 2026","0,00",0
"sáb, 18 abr 2026","0,00",0
"dom, 19 abr 2026","0,00",0
"lun, 20 abr 2026","0,00",0
"mar, 21 abr 2026","2,00",11
"mié, 22 abr 2026","1,00",8
"jue, 23 abr 2026","1,00",10
"vie, 24 abr 2026","0,00",8
"sáb, 25 abr 2026","0,00",0
"dom, 26 abr 2026","0,00",0
"lun, 27 abr 2026","0,00",0
"mar, 28 abr 2026","0,00",0
"mié, 29 abr 2026","0,00",0
"jue, 30 abr 2026","0,00",0
"vie, 1 may 2026","0,00",0
"sáb, 2 may 2026","0,00",5
"dom, 3 may 2026","0,00",0
"lun, 4 may 2026","0,00",2
"mar, 5 may 2026","0,00",2
"mié, 6 may 2026","0,00",3
"jue, 7 may 2026","1,00",11
"vie, 8 may 2026","0,00",3
"sáb, 9 may 2026","1,00",8
"dom, 10 may 2026","0,00",1
"lun, 11 may 2026","1,00",5
"mar, 12 may 2026","0,00",0
"mié, 13 may 2026","0,00",1
"jue, 14 may 2026","0,00",0
"vie, 15 may 2026","0,00",0
"sáb, 16 may 2026","0,00",0
"dom, 17 may 2026","0,00",0
"lun, 18 may 2026","0,00",0
"mar, 19 may 2026","3,00",17
"mié, 20 may 2026","0,00",3
"jue, 21 may 2026","2,00",8
"vie, 22 may 2026","0,00",4
"sáb, 23 may 2026","1,00",5
"dom, 24 may 2026","0,00",2
"lun, 25 may 2026","0,00",6
"mar, 26 may 2026","1,00",7
"mié, 27 may 2026","0,00",3
"jue, 28 may 2026","2,00",15
"vie, 29 may 2026","2,00",10
"sáb, 30 may 2026","0,00",0
"dom, 31 may 2026","0,00",0
"lun, 1 jun 2026","0,00",0
"mar, 2 jun 2026","0,00",0
"mié, 3 jun 2026","3,00",10
"jue, 4 jun 2026","4,00",13
"vie, 5 jun 2026","2,00",4
"sáb, 6 jun 2026","2,00",7
"dom, 7 jun 2026","0,00",0
"lun, 8 jun 2026","1,00",2
"mar, 9 jun 2026","0,00",11
"mié, 10 jun 2026","0,00",13
"jue, 11 jun 2026","2,00",8
"vie, 12 jun 2026","0,00",0
"sáb, 13 jun 2026","0,00",0
"dom, 14 jun 2026","0,00",0
"lun, 15 jun 2026","0,00",5
"mar, 16 jun 2026","1,00",11
"mié, 17 jun 2026","0,00",10
